architecture,checkpoint,tag,T,batch,route,session,gpu,gpu_id,torch,cuda,copy_scope,warmup_capture_seconds,engine,round,repeat,wall_ms,cuda_ms,peak_allocated_gib,reserved_gib
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,0,3.4981779754161835,3.462143898010254,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,1,3.4840144217014313,3.4588799476623535,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,2,3.475423902273178,3.4549760818481445,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,3,3.4749358892440796,3.4560000896453857,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,4,3.475181758403778,3.458048105239868,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,5,3.476440906524658,3.459007978439331,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,6,3.4718550741672516,3.4539520740509033,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,7,3.4744031727313995,3.457024097442627,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,8,3.4756772220134735,3.4588799476623535,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,0,9,3.477010875940323,3.4608960151672363,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph_with_copy,0,0,3.487583249807358,3.4693119525909424,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph_with_copy,0,1,3.4900009632110596,3.471359968185425,0.4665842056274414,0.62890625
