split,stage,step,comparison,ce_difference_mean,ce_difference_each_seed,ce_difference_sd,conditional_block_ci95,original_order_8block_cluster_ci95,paired_seed_t_ci95,accuracy_difference_pp_each,accuracy_difference_pp_mean,all_seeds_positive,all_seeds_negative,stable_positive_conditional,stable_negative_conditional,fraction,strict_time_match_all
test,formal,512,matched,0.1538137272283269,"[0.16100767383015802, 0.1578273968691828, 0.1426061109856399]",0.009835473388181854,"[0.14774958921406883, 0.1596801409045113]","[0.14782100946269836, 0.15981774691683326]","[0.12938105687182755, 0.17824639758482624]","[-2.469497315763787, -1.9375305026842362, -1.6349438750610055]",-2.01399056450301,True,False,True,False,,
test,formal,512,unmatched,-0.17776354664904548,"[-0.16900779753813122, -0.1773598281149266, -0.1869230142940786]",0.00896442911424022,"[-0.19303308042120448, -0.16236753811897311]","[-0.19598716126492913, -0.1598178614193515]","[-0.20003242307604222, -0.15549467022204874]","[1.1615422157149828, 1.4421669106881405, 1.8374816983894582]",1.480396941597527,False,True,False,True,,
test,formal,1024,matched,0.14367703127471218,"[0.1435506235453718, 0.14550976152231532, 0.14197070875644946]",0.0017729094182792986,"[0.1378253431414347, 0.1494439020983733]","[0.13800236080089442, 0.14934103657813877]","[0.13927288012924724, 0.14808118242017712]","[-2.135187896534895, -2.018057589067838, -2.3304050756466568]",-2.1612168537497967,True,False,True,False,,
test,formal,1024,unmatched,-0.22009856140740403,"[-0.22237075799465855, -0.21939623606154374, -0.21852869016600981]",0.0020150228208540835,"[-0.23734280891117066, -0.20312702325999182]","[-0.24067178430367864, -0.19986986320540104]","[-0.2251041555867252, -0.21509296722808285]","[1.9472913616398244, 1.8765251342118106, 1.708150317227916]",1.8439889376931837,False,True,False,True,,
test,formal,2048,matched,0.13764051511333295,"[0.1475598542868551, 0.13918100245983545, 0.1261806885933082]",0.01077251165636799,"[0.13225584220802086, 0.14317318026403814]","[0.13213445722794515, 0.14306473483940615]","[0.11088011265747921, 0.16440091756918668]","[-1.8423621278672524, -1.817959980478282, -1.7179111761835042]",-1.792744428176346,True,False,True,False,,
test,formal,2048,unmatched,-0.2552534277559846,"[-0.2541655329174367, -0.2542981060335529, -0.25729664431696414]",0.0017707185953942624,"[-0.27341666514877294, -0.23726428716247341]","[-0.2772893387431155, -0.23363219988842]","[-0.259652136595701, -0.25085471891626815]","[2.471937530502684, 2.2840409956076133, 2.440214738897023]",2.3987310883357735,False,True,False,True,,
test,formal,4096,matched,0.13335979212795376,"[0.1376018791832666, 0.12756696012308125, 0.13491053707751346]",0.0051940838999824145,"[0.12805473527745306, 0.13880077362762444]","[0.12836914358026044, 0.1384351645915226]","[0.12045697243401221, 0.14626261182189532]","[-1.8374816983894582, -1.593460224499756, -1.9399707174231333]",-1.7903042134374492,True,False,True,False,,
test,formal,4096,unmatched,-0.28303465222045343,"[-0.27672988784897334, -0.2860754726675849, -0.28629859614480213]",0.005461225719235113,"[-0.30229128475062766, -0.2643426880738455]","[-0.3065565038578451, -0.26024992064644736]","[-0.29660108898198617, -0.2694682154589207]","[2.7354807223035627, 3.0209858467545145, 2.850170815031723]",2.868879128029933,False,True,False,True,,
test,legacy_reconstructed,512,matched,0.15067994313547564,"[0.14043684016744276, 0.15110988197352343, 0.1604931072654607]",0.010035043499163603,"[0.14417098158456168, 0.15736993916576114]","[0.14382998819989834, 0.1571699682848349]","[0.12575151314014835, 0.17560837313080294]","[-1.6764275256222547, -2.0034163006344556, -1.8326012689116642]",-1.837481698389458,True,False,True,False,,
test,legacy_reconstructed,512,unmatched,-0.17829525159422296,"[-0.18687796880106478, -0.17113212314899032, -0.17687566283261383]",0.007968333452724182,"[-0.1961418159286803, -0.1604882615108515]","[-0.1996340614206891, -0.15752330166020562]","[-0.19808968922393683, -0.1585008139645091]","[1.6813079551000487, 1.3469985358711567, 1.6520253782332845]",1.5601106230681634,False,True,False,True,,
test,formal_equal_time,,matched,0.15347353365731167,"[0.18451356141032196, 0.14863268051674808, 0.12727435904486503]",0.028925023184170673,"[0.14730610846641254, 0.15953699337867422]","[0.14733259545600041, 0.15957510493041008]","[0.08161979275226068, 0.22532727456236268]","[-2.5256222547584186, -1.8936066373840899, -1.791117618350415]",-2.0701155034976413,True,False,True,False,0.25,False
test,formal_equal_time,,matched,0.15239805343067536,"[0.15450680848002424, 0.1612032630280991, 0.1414840887839027]",0.01002729246166982,"[0.14645370321698048, 0.15840147137934693]","[0.1464996926995899, 0.15849381740777807]","[0.12748887807989157, 0.17730722878145916]","[-2.259638848218643, -2.1547096144460713, -1.9570522205954124]",-2.1238002277533754,True,False,True,False,0.5,False
test,formal_equal_time,,matched,0.14273085735120628,"[0.15021617650995261, 0.1357332546498234, 0.14224314089384285]",0.007253768462581338,"[0.13717790105277977, 0.14832266692544627]","[0.13714587157923022, 0.14838346646484774]","[0.12471149756100276, 0.1607502171414098]","[-2.018057589067838, -2.0107369448511467, -1.8814055636896048]",-1.970066699202863,True,False,True,False,1.0,True
supplementary,formal,512,matched,0.15045693762754186,"[0.13857209279881633, 0.15006152360121708, 0.1627371964825922]",0.012087403492937193,"[0.12486034586822689, 0.17655591172433066]","[0.12638174509990277, 0.17535720731396393]","[0.12043016277359392, 0.1804837124814898]","[-2.0637898686679175, -1.125703564727955, -1.9230769230769231]",-1.7041901188242654,True,False,True,False,,
supplementary,formal,512,unmatched,-0.2161407333713088,"[-0.2279357793854504, -0.20893276442282643, -0.21155365630564948]",0.010298524235158679,"[-0.2893460134145938, -0.1443310806496189]","[-0.2870058196339491, -0.14746281726780372]","[-0.2417236857992412, -0.1905577809433764]","[1.5009380863039399, 1.5009380863039399, 1.7823639774859288]",1.594746716697936,False,True,False,True,,
supplementary,formal,1024,matched,0.15906211703997095,"[0.16881385328174756, 0.14727910919775436, 0.1610933886404109]",0.010910125981254085,"[0.13610688973100618, 0.18233121342231318]","[0.13582153224900406, 0.18210513322108787]","[0.1319598616499906, 0.1861643724299513]","[-1.125703564727955, -1.2664165103189493, -3.048780487804878]",-1.813633520950594,True,False,True,False,,
supplementary,formal,1024,unmatched,-0.2538321545397661,"[-0.23716558817962768, -0.2751234991241799, -0.24920737631549084]",0.01939696319108837,"[-0.33427868579831016, -0.17698987154095125]","[-0.3340932460539098, -0.17939164305726943]","[-0.30201688229618173, -0.20564742678335046]","[1.9699812382739212, 2.8611632270168856, 1.6885553470919326]",2.1732332707942468,False,True,False,True,,
supplementary,formal,2048,matched,0.12489649313289423,"[0.12648310980586577, 0.14177934123695904, 0.10642702835585789]",0.01772948168619238,"[0.1015159186138122, 0.148349145442771]","[0.10219897475707534, 0.14902895753471235]","[0.08085401906643691, 0.16893896719935156]","[-2.016885553470919, -1.829268292682927, -0.6097560975609756]",-1.485303314571607,True,False,True,False,,
supplementary,formal,2048,unmatched,-0.3093840916075507,"[-0.3154377575830939, -0.30158778527440544, -0.31112673196515267]",0.007087526352671759,"[-0.3944433063908166, -0.22767507083791447]","[-0.39190237142614276, -0.23294094310423147]","[-0.3269904831032469, -0.2917777001118545]","[2.3921200750469045, 2.673545966228893, 2.954971857410882]",2.673545966228893,False,True,False,True,,
supplementary,formal,4096,matched,0.11357160583557824,"[0.1229834049157309, 0.08884181029130102, 0.12888960229970278]",0.02161927109388575,"[0.0902435519851812, 0.1364595667809351]","[0.09175250801718088, 0.13595053037539642]","[0.059866359210702845, 0.16727685246045362]","[-1.876172607879925, -1.9699812382739212, -1.7823639774859288]",-1.8761726078799252,True,False,True,False,,
supplementary,formal,4096,unmatched,-0.32997537354441864,"[-0.325575104965278, -0.34263100040339173, -0.32172001526458627]",0.011128301646939,"[-0.4196692678891071, -0.24563043150803227]","[-0.41757745015560416, -0.24903742530982034]","[-0.3576196073333131, -0.30233113975552417]","[3.095684803001876, 2.673545966228893, 2.2983114446529083]",2.6891807379612254,False,True,False,True,,
supplementary,legacy_reconstructed,512,matched,0.151350542073551,"[0.1440076957724108, 0.15415094521658507, 0.15589298523165718]",0.006418467083747844,"[0.11952976989074167, 0.18190355437181063]","[0.11838998614729937, 0.1837825650066967]","[0.13540618593918483, 0.16729489820791718]","[-1.5009380863039399, -2.25140712945591, -2.3921200750469045]",-2.048155096935585,True,False,True,False,,
supplementary,legacy_reconstructed,512,unmatched,-0.21278736861964329,"[-0.2065183793738009, -0.2208965586229292, -0.21094716786219972]",0.0073636107821358765,"[-0.2980036524022288, -0.13036049915279757]","[-0.2969667812526098, -0.13363318513765174]","[-0.23107959185819837, -0.1944951453810882]","[1.0787992495309568, 0.46904315196998125, 0.9380863039399625]",0.8286429018136335,False,True,False,True,,
supplementary,formal_equal_time,,matched,0.14626659685891444,"[0.1777593436988165, 0.11125682112647266, 0.1497836257514542]",0.03339047014186076,"[0.1228038615843994, 0.16982758124414313]","[0.12278496439758185, 0.16973597887787406]","[0.06332007076644475, 0.22921312295138413]","[-2.3921200750469045, -1.7823639774859288, -1.4540337711069418]",-1.8761726078799248,True,False,True,False,0.25,False
supplementary,formal_equal_time,,matched,0.15704384077109718,"[0.18002293352561866, 0.13090807459479648, 0.1602005141928764]",0.024709123462143823,"[0.13248974688967002, 0.18225452457392557]","[0.13238147418264462, 0.18228961611632924]","[0.09566297535449082, 0.21842470618770354]","[-1.594746716697936, -1.876172607879925, -2.720450281425891]",-2.0637898686679175,True,False,True,False,0.5,False
supplementary,formal_equal_time,,matched,0.15403120094366263,"[0.13656647268535943, 0.16460140818279187, 0.16092572196283664]",0.015236148369885788,"[0.13172048239279718, 0.1762085647232399]","[0.1312135428266193, 0.17745860287030799]","[0.11618251019620603, 0.19187989169111924]","[-2.720450281425891, -2.3921200750469045, -2.1575984990619137]",-2.4233896185115698,True,False,True,False,1.0,True
