architecture,tag,session,batch,route,group,cross_T2_eager_over_T4_graph,same_T4_graph_over_T2_graph,matched_copy_T2_eager_over_T4_graph
language,formal_Tpaired_seed8621_step4096,8621,1,full,formal,2.6722678489782834,1.5084514007255179,
language,formal_Tpaired_seed8621_step4096,8621,4,full,formal,1.5987573137284283,1.585847664024466,
language,formal_Tpaired_seed8621_step4096,8621,16,full,formal,0.6300303591992068,1.7518698791477598,
language,formal_Tpaired_seed8621_step4096,8621,64,full,formal,0.5164109547060263,1.9777118123113209,
language,formal_Tpaired_seed8622_step4096,8622,1,full,formal,2.744483653614508,1.5123518638502251,
language,formal_Tpaired_seed8622_step4096,8622,4,full,formal,1.6365094004992569,1.596370120938832,
language,formal_Tpaired_seed8622_step4096,8622,16,full,formal,0.6359204058119383,1.7539257897877003,
language,formal_Tpaired_seed8622_step4096,8622,64,full,formal,0.5150434322269288,1.9834936751938044,
language,formal_Tpaired_seed8623_step4096,8623,1,full,formal,2.8768118174601636,1.5082862088134947,
language,formal_Tpaired_seed8623_step4096,8623,4,full,formal,1.6653965257275136,1.5873073410391998,
language,formal_Tpaired_seed8623_step4096,8623,16,full,formal,0.6354307046028956,1.7512864030601671,
language,formal_Tpaired_seed8623_step4096,8623,64,full,formal,0.5164937881783299,1.9782174834895836,
language,frozen,8801,1,full,historical,4.393850271032535,1.412228378249466,4.38723880560242
language,frozen,8801,1,full,masked,2.6583803752738255,1.5120356542494138,
language,frozen,8801,1,masked,masked,2.7653025369622313,1.5150562435438018,
language,frozen,8801,4,full,historical,1.656086739986162,1.5980190633548976,1.662031164545463
language,frozen,8801,4,full,masked,1.7115685605265487,1.5898158961790652,
language,frozen,8801,4,masked,masked,1.7134019761650965,1.6115006026117356,
language,frozen,8801,16,full,historical,0.6354241119558024,1.7619119795647542,
language,frozen,8801,16,full,masked,0.63008217038716,1.7701359448428498,
language,frozen,8801,16,masked,masked,0.6190063482051718,1.8145109400339077,
language,frozen,8801,64,full,historical,0.5138491871906101,1.9869215037752102,
language,frozen,8801,64,full,masked,0.5134920429155307,1.9858507939947214,
language,frozen,8801,64,masked,masked,0.49984865031536013,2.0452945828734954,
language,frozen,8802,1,full,historical,2.785379047133634,1.5036660344672246,2.759305575210055
language,frozen,8802,4,full,historical,1.6265183627554167,1.577751498910895,1.6627031093688935
language,frozen,8802,16,full,historical,0.6383175583743169,1.7345760664517258,
language,frozen,8802,64,full,historical,0.516607043148339,1.9766486206325464,
language,frozen,8803,1,full,historical,2.7515872880537033,1.5090588650385508,2.7360113664154677
language,frozen,8803,4,full,historical,1.6794856738295976,1.5896608068796818,1.65605029518714
language,frozen,8803,16,full,historical,0.6300438258794554,1.7655814342147567,
language,frozen,8803,64,full,historical,0.5163114529542155,1.974177727789108,
language,legacy_reconstructed_Tpaired_seed7621_step512,7621,1,full,legacy,2.876585196154658,1.505078261128313,
language,legacy_reconstructed_Tpaired_seed7621_step512,7621,4,full,legacy,1.6572768741111235,1.584488706786051,
language,legacy_reconstructed_Tpaired_seed7622_step512,7622,1,full,legacy,2.6664500563338605,1.423866743439638,
language,legacy_reconstructed_Tpaired_seed7622_step512,7622,4,full,legacy,1.60957827918956,1.5932662083340337,
language,legacy_reconstructed_Tpaired_seed7623_step512,7623,1,full,legacy,2.856277050337448,1.5052198845532951,
language,legacy_reconstructed_Tpaired_seed7623_step512,7623,4,full,legacy,1.668559120390987,1.5853463289906822,
vision,ready_reconstructed,8801,1,full,historical,3.020679536772592,1.381919129512349,2.993501185293815
vision,ready_reconstructed,8801,4,full,historical,2.0947289911434805,1.5140603790938274,2.243413740738599
vision,ready_reconstructed,8801,16,full,historical,0.6729711284856155,1.8581133307729845,
vision,ready_reconstructed,8801,64,full,historical,0.5066991710707363,2.0514704953263143,
vision,ready_reconstructed,8802,1,full,historical,3.0571200378631014,1.3846104980018572,3.1652688809389846
vision,ready_reconstructed,8802,4,full,historical,2.1811199242503543,1.5103231694609531,2.1801551107359463
vision,ready_reconstructed,8802,16,full,historical,0.6771412227432544,1.8651690844806676,
vision,ready_reconstructed,8802,64,full,historical,0.5087233913645233,2.0471099134673794,
vision,ready_reconstructed,8803,1,full,historical,3.1057553366273165,1.3832841139551757,2.9398292383795597
vision,ready_reconstructed,8803,4,full,historical,2.1339022381796102,1.5135124269203235,2.1106153413657798
vision,ready_reconstructed,8803,16,full,historical,0.6769050562086021,1.8608103465575205,
vision,ready_reconstructed,8803,64,full,historical,0.506793759343515,2.052922368932923,
