T,seed,lr,step,ce
2,8611,0.0002,512,2.9450108010560174
2,8611,0.0002,1024,2.954878376991259
2,8611,0.0002,2048,2.8592062676795806
2,8611,2e-05,512,2.650965142531026
2,8611,2e-05,1024,2.642740238595892
2,8611,2e-05,2048,2.6077296128277023
2,8611,6e-05,512,2.6592568027652073
2,8611,6e-05,1024,2.6642864593853455
2,8611,6e-05,2048,2.6142730355664137
2,8611,6e-06,512,2.77914043468257
2,8611,6e-06,1024,2.7054276799513435
2,8611,6e-06,2048,2.6421614712737624
2,8612,0.0002,512,2.9610973552421287
2,8612,0.0002,1024,2.888223917697014
2,8612,0.0002,2048,2.812954200400347
2,8612,2e-05,512,2.689997967044111
2,8612,2e-05,1024,2.677471116135016
2,8612,2e-05,2048,2.5937614863117537
2,8612,6e-05,512,2.669684384407018
2,8612,6e-05,1024,2.6168498249617893
2,8612,6e-05,2048,2.630274546417323
2,8612,6e-06,512,2.7411289700755366
2,8612,6e-06,1024,2.6812312607010607
2,8612,6e-06,2048,2.6379215145351913
4,8611,0.0002,512,2.8004290085248273
4,8611,0.0002,1024,2.7912661602802147
4,8611,0.0002,2048,2.752840822619019
4,8611,2e-05,512,2.5416230813220695
4,8611,2e-05,1024,2.4837436565395556
4,8611,2e-05,2048,2.446849860025175
4,8611,6e-05,512,2.545408444272147
4,8611,6e-05,1024,2.5121350812440366
4,8611,6e-05,2048,2.503044171591198
4,8611,6e-06,512,2.628668017258949
4,8611,6e-06,1024,2.5689826519400984
4,8611,6e-06,2048,2.480757545140456
4,8612,0.0002,512,2.7864953288526246
4,8612,0.0002,1024,2.704413038010549
4,8612,0.0002,2048,2.709857648796706
4,8612,2e-05,512,2.527027687440416
4,8612,2e-05,1024,2.4731260119664547
4,8612,2e-05,2048,2.490929318397535
4,8612,6e-05,512,2.5675190618945294
4,8612,6e-05,1024,2.525069947144399
4,8612,6e-05,2048,2.4616059683489078
4,8612,6e-06,512,2.6222954045241127
4,8612,6e-06,1024,2.5499308331044834
4,8612,6e-06,2048,2.511405842573153
