updates,contrast,n_paired_seeds,mean,sample_sd,ci95_low,ci95_high,minimum,maximum,positive_seeds,negative_seeds
512,P2,5,-0.0020103582392621442,0.008758193561589954,-0.012885091873988393,0.008864375395464103,-0.01537262599407141,0.006313522296794716,2,3
512,P4,5,-0.052214389538927986,0.013215996322941032,-0.06862421637351719,-0.03580456270433878,-0.06766892942943392,-0.03138368827117377,0,5
512,I,5,-0.05422474777819013,0.007611119597351943,-0.06367520096824517,-0.04477429458813509,-0.06248422503880002,-0.04675631426524518,0,5
512,native_gap,5,0.01123706452740696,0.00896898611958763,0.00010059736232572065,0.0223735316924882,0.002720674096815978,0.0257404940159236,5,0
512,gap_recovery,5,-0.017875127009827452,0.00896898611958763,-0.029011594174908693,-0.006738659844746213,-0.03237855649834409,-0.00935873657923647,0,5
512,gap_recovery_percent,5,-5.574377859074279,3.555517218532238,-9.989135584319344,-1.1596201338292147,-11.305120835992803,-2.1985994060009446,0,5
512,inference_T2_minus_T4_after_a2,5,0.06345145406633494,0.009907969983274006,0.051149084442820056,0.07575382368984983,0.056204843981604746,0.08054551158359957,5,0
512,inference_T2_minus_T4_after_a4,5,0.009226706288144815,0.006145421769020089,0.0015961573237748827,0.016857255252514747,0.000884010606049701,0.01806128654479955,5,0
512,gain_a2_e2,5,0.004014687520443694,0.025083949261463085,-0.027131149210284915,0.035160524251172304,-0.025099850382958477,0.04082280077459299,3,2
512,gain_a2_e4,5,0.07410420406919913,0.03454955597734123,0.031205264258208854,0.1170031438801894,0.03774305608106676,0.12800637484061306,5,0
512,gain_a4_e2,5,0.006025045759705838,0.024372722119365038,-0.02423768583413427,0.03628777735354595,-0.03141337267975319,0.035638096383959095,4,1
512,gain_a4_e4,5,0.021889814530271147,0.026918926926571267,-0.011534447904730294,0.05531407696527259,-0.015741113803722007,0.060337445411179136,4,1
2048,P2,5,0.008683810592403108,0.008178596144081044,-0.0014712577955504486,0.018838878980356664,-0.0020868024096358795,0.017060173946525703,4,1
2048,P4,5,-0.01914967655323845,0.009383298369764002,-0.03080058032337848,-0.007498772783098417,-0.03162187264500238,-0.00730801617084631,0,5
2048,I,5,-0.010465865960835341,0.005095160810690684,-0.01679234370452867,-0.004139388217142014,-0.016346538748888806,-0.0051821993975085245,0,5
2048,native_gap,5,0.00605724546598978,0.003258885076053746,0.0020108051927703076,0.010103685739209252,0.0025655677304605717,0.009570101463957759,5,0
2048,gap_recovery,5,-0.012695307948410273,0.0032588850760537466,-0.016741748221629747,-0.0086488676751908,-0.01620816394637825,-0.009203630212881064,0,5
2048,gap_recovery_percent,5,-3.2763212826790964,1.279629031165126,-4.865190581733196,-1.687451983624997,-4.6385451489365295,-1.8610615954666088,0,5
2048,inference_T2_minus_T4_after_a2,5,0.02520692201922823,0.008910964867770977,0.014142497753658443,0.036271346284798014,0.01687811763480407,0.03996548421370383,5,0
2048,inference_T2_minus_T4_after_a4,5,0.014741056058392887,0.007790006065088213,0.005068485981583885,0.02441362613520189,0.006722175498889094,0.02478578463701986,5,0
2048,gain_a2_e2,5,0.001987345494611592,0.017614162815322985,-0.019883526331674416,0.0238582173208976,-0.025480524980649344,0.01927665467183104,4,1
2048,gain_a2_e4,5,0.03383232999626031,0.011208123714084245,0.019915606293068044,0.04774905369945258,0.021123021715474977,0.0480654288714113,5,0
2048,gain_a4_e2,5,-0.006696465097791515,0.0227044497824536,-0.034887762991689435,0.0214948327961064,-0.041922698048967755,0.02136345708146692,1,4
2048,gain_a4_e4,5,0.014682653443021864,0.01730233039326263,-0.0068010272913191176,0.03616633417736285,-0.010498850929527404,0.03548481861820929,4,1
