updates,seed,calibration,P4,native_minus_reused_accuracy_pp
512,9621,raw,0.0022571438366838503,1.2499999999999956
512,9621,bn_only,-0.02912654443448992,1.1099999999999999
512,9622,raw,0.022712620362301816,1.5900000000000025
512,9622,bn_only,-0.034369723624171344,1.1900000000000022
512,9623,raw,0.04144020869194098,2.069999999999994
512,9623,bn_only,-0.02622872073749316,0.5299999999999971
512,9624,raw,0.016510401524987506,1.7100000000000004
512,9624,bn_only,-0.0349424145977828,0.8900000000000019
512,9625,raw,0.02313453325959869,1.5100000000000002
512,9625,bn_only,-0.03034963662519008,0.9199999999999986
2048,9621,raw,0.008125865112536212,1.7999999999999905
2048,9621,bn_only,-0.015160382334602707,0.8599999999999941
2048,9622,raw,-0.0115500117417775,0.9700000000000042
2048,9622,bn_only,-0.018858027912623587,0.7000000000000006
2048,9623,raw,0.008791785445238842,1.430000000000009
2048,9623,bn_only,-0.02283008719976376,-0.060000000000004494
2048,9624,raw,-0.0008967127883341419,0.990000000000002
2048,9624,bn_only,-0.02139985930565147,0.6099999999999994
2048,9625,raw,-0.008344113385944985,1.2500000000000067
2048,9625,bn_only,-0.02137321337183229,0.24999999999999467
