task,calibration,updates,contrast,n_paired_seeds,mean,sample_sd,ci95_low,ci95_high,minimum,maximum,positive_seeds,negative_seeds
language,raw,512,P2,3,0.06797955033082737,0.007492723038514719,0.04936659446715243,0.0865925061945023,0.0594066737122394,0.07327605714955032,3,0
language,raw,512,P4,3,0.14428555750040037,0.007414586899408997,0.12586670256652854,0.1627044124342722,0.13843584762552785,0.15262444694767785,3,0
language,raw,512,I,3,0.21226510783122773,0.01404554557406753,0.17737403838857865,0.24715617727387681,0.19784252133776725,0.22590050409722817,3,0
language,raw,512,native_gap,3,0.15379223981497367,0.009816001852710036,0.12940793943404555,0.1781765401959018,0.14260611093909636,0.16096858658768554,3,0
language,raw,512,gap_recovery,3,0.08270893367142322,0.009816001852710036,0.058324633290495115,0.10709323405235133,0.07553258689871134,0.09389506254730051,3,0
language,raw,512,gap_recovery_percent,3,34.97189145075446,4.150508730255681,24.661456190977347,45.28232671053158,31.937510408613612,39.70173219994665,3,0
language,raw,512,inference_T2_minus_T4_after_a2,3,0.0095066823145733,0.011490349197698256,-0.019036927448609083,0.03805029207775568,0.0008097330111009882,0.022532738962157683,3,0
language,raw,512,inference_T2_minus_T4_after_a4,3,0.22177179014580103,0.008692571476514983,0.20017824552890492,0.24336533476269714,0.21386203106978874,0.2310780790676894,3,0
language,raw,512,gain_a2_e2,3,0.4142819707959564,0.008945348587873403,0.39206049302406754,0.4365034485678453,0.4055522798001472,0.4234284094067089,3,0
language,raw,512,gain_a2_e4,3,0.18728747962413284,0.004537837466431706,0.17601486644397626,0.1985600928042894,0.1825416246650775,0.191583845275908,3,0
language,raw,512,gain_a4_e2,3,0.34630242046512905,0.005793253611627228,0.33191118069475206,0.36069366023550603,0.34058916603146283,0.3521724892760165,3,0
language,raw,512,gain_a4_e4,3,0.3315730371245332,0.0031211465430694475,0.3238196792929952,0.33932639495607114,0.3295333468594084,0.33516607161275536,3,0
language,raw,4096,P2,3,0.06671000616346608,0.0061827325443161735,0.0513512470884642,0.08206876523846796,0.06193335223106411,0.07369331567828441,3,0
language,raw,4096,P4,3,0.15810354712387018,0.011147864720480273,0.13041071596623408,0.18579637828150627,0.14904538409532364,0.1705533072541039,3,0
language,raw,4096,I,3,0.22481355328733624,0.0068746639533037186,0.20773594130532386,0.24189116526934862,0.2192153006032327,0.232486659485168,3,0
language,raw,4096,native_gap,3,0.13336313063966868,0.005188498889595351,0.12047418488065015,0.1462520763986872,0.12757697589094308,0.13760187909017985,3,0
language,raw,4096,gap_recovery,3,0.10313804284672819,0.005188498889595351,0.09024909708770966,0.11602698860574671,0.09889929439621703,0.1089241975954538,3,0
language,raw,4096,gap_recovery_percent,3,43.609949720888174,2.193857566585725,38.160105405523765,49.05979403625258,41.817675971026645,46.05651464208017,3,0
language,raw,4096,inference_T2_minus_T4_after_a2,3,-0.024740416484201482,0.0071596265814634855,-0.04252591487726502,-0.006954918091137942,-0.032951428163924046,-0.019801413084299835,0,3
language,raw,4096,inference_T2_minus_T4_after_a4,3,0.20007313680313477,0.0010385401918432046,0.19749325994740863,0.2026530136588609,0.19941388751893285,0.2012702915692275,3,0
language,raw,4096,gain_a2_e2,3,0.5195400475192574,0.005461225759059057,0.5059736106587965,0.5331064843797183,0.5132352831012339,0.522803991443606,3,0
language,raw,4096,gain_a2_e4,3,0.25829845754865904,0.012606504425252,0.22698216449254313,0.28961475060477493,0.24378268145091297,0.2665014048729093,3,0
language,raw,4096,gain_a4_e2,3,0.4528300413557913,0.004889059229622837,0.4406849449485042,0.4649751377630784,0.44888755233464783,0.4583006408625563,3,0
language,raw,4096,gain_a4_e4,3,0.4164020046725292,0.004180572515465354,0.40601688683015474,0.42678712251490364,0.41365667041747844,0.42121335489509226,3,0
vision,bn_only,512,P2,5,0.15241848676117492,0.002724735552550162,0.14903528072094754,0.1558016928014023,0.14895531150423924,0.1561498390631053,5,0
vision,bn_only,512,P4,5,-0.03100340800382546,0.0036604482706262104,-0.03554845483874926,-0.026458361168901667,-0.0349424145977828,-0.02622872073749316,0,5
vision,bn_only,512,I,5,0.12141507875734944,0.0012402685215982822,0.11987508198597545,0.12295507552872344,0.11942043122426282,0.12272659076674608,5,0
vision,bn_only,512,native_gap,5,0.10918371929604205,0.004202927726869717,0.10396509525053554,0.11440234334154856,0.10555944042615595,0.11553313456880843,5,0
vision,bn_only,512,gap_recovery,5,0.1382986060880485,0.004202927726869717,0.13307998204254198,0.14351723013355502,0.1319491908152821,0.1419228849579346,5,0
vision,bn_only,512,gap_recovery_percent,5,55.88221537574863,1.6982738950536385,53.77352982117125,57.990900930326006,53.316611847128094,57.346675055550506,5,0
vision,bn_only,512,inference_T2_minus_T4_after_a2,5,0.14018712729986751,0.001817155296212474,0.1379308309894152,0.14244342361031984,0.13721622779135934,0.1417618553063016,5,0
vision,bn_only,512,inference_T2_minus_T4_after_a4,5,0.26160220605721696,0.002355885825805424,0.2586769874434358,0.2645274246709981,0.25899153122191776,0.26448844607304767,5,0
vision,bn_only,512,gain_a2_e2,5,0.13367050982209272,0.003981365700636385,0.12872699136792923,0.1386140282762562,0.12710724487919367,0.13712744804378008,5,0
vision,bn_only,512,gain_a2_e4,5,0.026375311737869687,0.004129973916247837,0.02124727181254414,0.031503351663195234,0.021386774801404718,0.030249420178181108,5,0
vision,bn_only,512,gain_a4_e2,5,-0.01874797693908219,0.0029240802757613373,-0.02237870214535278,-0.015117251732811603,-0.02184806662504557,-0.013944740290567248,0,5
vision,bn_only,512,gain_a4_e4,5,-0.004628096265955772,0.00342735755066465,-0.0088837227455879,-0.00037246978632364276,-0.007584659752063461,0.001049256938393306,1,4
vision,bn_only,2048,P2,5,0.18049144252449967,0.003662338453347085,0.17594404871774133,0.185038836331258,0.17561245193607156,0.18485667887652535,5,0
vision,bn_only,2048,P4,5,-0.019924314024894762,0.0030229154867402915,-0.02367775935439279,-0.016170868695396735,-0.022830087199763538,-0.015160382334602707,0,5
vision,bn_only,2048,I,5,0.16056712849960492,0.002307252518699966,0.15770229611237022,0.16343196088683962,0.15729859738184304,0.16348346550469306,5,0
vision,bn_only,2048,native_gap,5,0.08457697404387647,0.00373495119283935,0.07993941961267964,0.0892145284750733,0.08067032182747513,0.08931589178380106,5,0
vision,bn_only,2048,gap_recovery,5,0.16290535134021406,0.00373495119283935,0.15826779690901724,0.16754290577141087,0.15816643360028948,0.1668120035566154,5,0
vision,bn_only,2048,gap_recovery_percent,5,65.82504471274314,1.5091789634038446,63.95115152703811,67.69893789844816,63.91019372992252,67.40360278162271,5,0
vision,bn_only,2048,inference_T2_minus_T4_after_a2,5,0.10450128806877124,0.003608779366139514,0.1000203966523752,0.10898217948516727,0.10152736196945766,0.11057750969960178,5,0
vision,bn_only,2048,inference_T2_minus_T4_after_a4,5,0.26506841656837615,0.00266732458063063,0.26175649566508313,0.2683803374716692,0.2613323915336281,0.2678761070814448,5,0
vision,bn_only,2048,gain_a2_e2,5,0.16653011125710088,0.004483602483600553,0.16096298347095708,0.17209723904324467,0.1603441071846754,0.1713756175164598,5,0
