task,calibration,updates,seed,Q22,Q24,Q42,Q44,Q02,Q04,gain_a2_e2,gain_a2_e4,gain_a4_e2,gain_a4_e4,P2,P4,I,inference_T2_minus_T4_after_a2,inference_T2_minus_T4_after_a4,initial_native_gap,native_gap,gap_recovery,gap_recovery_percent
language,raw,512,8621,2.7944565901910936,2.771923851228936,2.853863263903333,2.633488003603408,3.200008869991241,2.963507696504844,0.4055522798001472,0.191583845275908,0.3461456060879078,0.33001969290143585,0.0594066737122394,0.13843584762552785,0.19784252133776725,0.022532738962157683,0.22037526029992494,0.23650117348639688,0.16096858658768554,0.07553258689871134,31.937510408613612
language,raw,512,8622,2.7861436468102276,2.7809660718397664,2.859419703959778,2.6283416248920886,3.200008869991241,2.963507696504844,0.41386522318101315,0.1825416246650775,0.34058916603146283,0.33516607161275536,0.07327605714955032,0.15262444694767785,0.22590050409722817,0.0051775749704612295,0.2310780790676894,0.23650117348639688,0.15780202191813908,0.0786991515682578,33.276431743703135
language,raw,512,8623,2.776580460584532,2.775770727573431,2.8478363807152243,2.6339743496454355,3.200008869991241,2.963507696504844,0.4234284094067089,0.187736968931413,0.3521724892760165,0.3295333468594084,0.07125592013069237,0.14179637792799538,0.21305229805868775,0.0008097330111009882,0.21386203106978874,0.23650117348639688,0.14260611093909636,0.09389506254730051,39.70173219994665
language,raw,4096,8621,2.686773586890007,2.719725015053931,2.748706939121071,2.549171707799827,3.200008869991241,2.963507696504844,0.5132352831012339,0.24378268145091297,0.4513019308701698,0.41433598870501687,0.06193335223106411,0.1705533072541039,0.232486659485168,-0.032951428163924046,0.19953523132124396,0.23650117348639688,0.13760187909017985,0.09889929439621703,41.817675971026645
language,raw,4096,8622,2.6774280019783085,2.698896410182689,2.751121317656593,2.5498510260873655,3.200008869991241,2.963507696504844,0.5225808680129322,0.2646112863221548,0.44888755233464783,0.41365667041747844,0.07369331567828441,0.14904538409532364,0.22273869977360805,-0.021468408204380562,0.2012702915692275,0.23650117348639688,0.12757697589094308,0.1089241975954538,46.05651464208017
language,raw,4096,8623,2.677204878547635,2.6970062916319346,2.7417082291286845,2.5422943416097517,3.200008869991241,2.963507696504844,0.522803991443606,0.2665014048729093,0.4583006408625563,0.42121335489509226,0.06450335058104972,0.15471195002218296,0.2192153006032327,-0.019801413084299835,0.19941388751893285,0.23650117348639688,0.13491053693788313,0.10159063654851375,42.95565854955771
vision,raw,512,9621,1.4877933649581507,1.4043868685320544,1.6542381792865695,1.4021297246953706,1.6372169614586514,1.3830965735921403,0.14942359650050063,-0.02129029493991408,-0.0170212178279181,-0.019033151103230228,0.16644481432841873,0.0022571438366838503,0.16870195816510258,0.08340649642609632,0.2521084545911989,0.25412038786651103,0.08566364026278017,0.16845674760373086,66.29013477353139
vision,raw,512,9622,1.5130489476342686,1.435738816291385,1.6714917805976235,1.413026195929083,1.6372169614586514,1.3830965735921403,0.1241680138243828,-0.05264224269924456,-0.034274819138972124,-0.02992962233694274,0.15844283296335493,0.022712620362301816,0.18115545332565675,0.07731013134288367,0.2584655846685404,0.25412038786651103,0.10002275170518549,0.15409763616132555,60.63961945559156
vision,raw,512,9623,1.5509325173540507,1.4897161736313487,1.694703124467656,1.448275964939408,1.6372169614586514,1.3830965735921403,0.08628444410460068,-0.10661960003920834,-0.057486163009004665,-0.06517939134726758,0.14377060711360534,0.04144020869194076,0.1852108158055461,0.061216343722702016,0.24642715952824812,0.25412038786651103,0.10265655241464278,0.15146383545186826,59.60318128092577
vision,raw,512,9624,1.5069448292287067,1.4262108183624804,1.6646193820665591,1.409700416837493,1.6372169614586514,1.3830965735921403,0.13027213222994471,-0.04311424477034009,-0.027402420607907763,-0.026603843245352587,0.15767455283785248,0.016510401524987506,0.17418495436283998,0.08073401086622622,0.2549189652290662,0.25412038786651103,0.09724441239121373,0.1568759754752973,61.73293563431202
vision,raw,512,9625,1.479086036609835,1.3980746528000805,1.6248974543687889,1.3749401195404818,1.6372169614586514,1.3830965735921403,0.1581309248488163,-0.014978079207940143,0.012319507089862514,0.008156454051658546,0.1458114177589538,0.02313453325959869,0.16894595101855248,0.08101138380975459,0.24995733482830707,0.25412038786651103,0.10414591706935328,0.14997447079715776,59.017095029753804
vision,raw,2048,9621,1.4923532110852655,1.413823946544563,1.6509054890748114,1.4056980814320268,1.6372169614586514,1.3830965735921403,0.14486375037338584,-0.03072737295242267,-0.013688527616160018,-0.02260150783988646,0.15855227798954585,0.008125865112536212,0.16667814310208207,0.07852926454070253,0.2452074076427846,0.25412038786651103,0.08665512965323874,0.1674652582132723,65.89996954563185
vision,raw,2048,9622,1.489191537456494,1.4045422931218403,1.669941397342924,1.4160923048636178,1.6372169614586514,1.3830965735921403,0.14802542400215746,-0.02144571952969998,-0.03272443588427265,-0.03299573127147748,0.1807498598864301,-0.0115500117417775,0.1691998481446526,0.0846492443346536,0.2538490924793062,0.25412038786651103,0.0730992325928761,0.18102115527363494,71.2344085389658
vision,raw,2048,9623,1.4479143535020529,1.377302328016155,1.611600865015341,1.368510542570916,1.6372169614586514,1.3830965735921403,0.18930260795659848,0.005794245575985402,0.02561609644331031,0.014586031021224244,0.16368651151328817,0.008791785445238842,0.172478296958527,0.07061202548589796,0.24309032244442497,0.25412038786651103,0.0794038109311368,0.17471657693537423,68.75346696981768
vision,raw,2048,9624,1.4659756806020392,1.3869742137166905,1.6450154125851113,1.3878709265050246,1.6372169614586514,1.3830965735921403,0.17124128085661217,-0.0038776401245501635,-0.007798451126459938,-0.004774352912884305,0.1790397319830721,-0.0008967127883341419,0.17814301919473796,0.0790014668853487,0.25714448608008666,0.25412038786651103,0.07810475409701456,0.17601563376949647,69.26466437708932
vision,raw,2048,9625,1.4679361958349588,1.3842563668338466,1.6449459741231054,1.3926004802197915,1.6372169614586514,1.3830965735921403,0.16928076562369254,-0.0011597932417062307,-0.007729012664454027,-0.009503906627651215,0.17700977828814657,-0.008344113385944985,0.16866566490220158,0.08367982900111226,0.25234549390331384,0.25412038786651103,0.07533571561516728,0.17878467225134376,70.35432054560653
