task,state,updates,adapt_T,infer_T,calibration,engine,n,ce_mean,ce_sd,accuracy_mean,accuracy_sd
language,adapted,512,2.0,2,raw,eager,3,2.7857268991952844,0.008945348587873634,0.49536359199609564,0.0033844291747361322
language,adapted,512,2.0,4,raw,eager,3,2.776220216880711,0.0045378374664316,0.4970473401659346,0.001278029709631363
language,adapted,512,4.0,2,raw,eager,3,2.8537064495261117,0.005793253611627228,0.48712380022775337,0.0005038516566112836
language,adapted,512,4.0,4,raw,eager,3,2.631934659380311,0.0031211465430691556,0.5154953635919961,0.0012710216342709422
language,adapted,4096,2.0,2,raw,eager,3,2.6804688224719833,0.005461225759059024,0.5092402798112902,0.0014366904591236202
language,adapted,4096,2.0,2,raw,graph,3,2.6804688224719833,0.005461225759059024,0.5092402798112902,0.0014366904591236202
language,adapted,4096,2.0,4,raw,eager,3,2.705209238956185,0.012606504425252036,0.5060842687489833,0.0022227842699138103
language,adapted,4096,4.0,2,raw,eager,3,2.7471788286354495,0.004889059229622837,0.5019277696437286,0.0013020323642708414
language,adapted,4096,4.0,4,raw,eager,3,2.5471056918323147,0.004180572515465008,0.5271433219456646,0.0011529422863268447
language,adapted,4096,4.0,4,raw,graph,3,2.5471056918323147,0.004180572515465008,0.5271433219456646,0.0011529422863268447
language,shared_initial,0,,2,raw,eager,1,3.200008869991241,,0.4516593460224499,
language,shared_initial,0,,4,raw,eager,1,2.963507696504844,,0.4805514885309907,
vision,adapted,512,2.0,2,bn_only,eager,5,1.428582699313449,0.003981365700636378,0.6413599999999999,0.003693643187964965
vision,adapted,512,2.0,2,raw,eager,5,1.5075611391570025,0.027897888308843214,0.6374000000000001,0.00286094390018395
vision,adapted,512,2.0,4,bn_only,eager,5,1.2883955720135813,0.004129973916247884,0.66112,0.0008526429498917012
vision,adapted,512,2.0,4,raw,eager,5,1.4308254659234698,0.03634957575596112,0.6470400000000001,0.006504460008332723
vision,adapted,512,4.0,2,bn_only,eager,5,1.5810011860746238,0.0029240802757613997,0.62994,0.0029711950457686404
vision,adapted,512,4.0,2,raw,eager,5,1.6619899841574395,0.025511240967410184,0.61426,0.004803436270005041
vision,adapted,512,4.0,4,bn_only,eager,5,1.3193989800174069,0.003427357550664709,0.6704000000000001,0.0024819347291982
vision,adapted,512,4.0,4,raw,eager,5,1.4096144843883673,0.02629016186564634,0.6633,0.004240283009422869
vision,adapted,2048,2.0,2,bn_only,eager,5,1.395723097878441,0.0044836024836004814,0.6492600000000001,0.0011081516141755521
vision,adapted,2048,2.0,2,raw,eager,5,1.4726741956961622,0.01830611071568951,0.6435799999999999,0.0038693668732752667
vision,adapted,2048,2.0,2,raw,graph,5,1.4726741956961622,0.01830611071568951,0.6435799999999999,0.0038693668732752667
vision,adapted,2048,2.0,4,bn_only,eager,5,1.2912218098096695,0.004108477139057462,0.6648400000000001,0.001165332570556589
vision,adapted,2048,2.0,4,raw,eager,5,1.3933798296466189,0.01520952049201266,0.6532199999999999,0.003154679064500809
vision,adapted,2048,4.0,2,bn_only,eager,5,1.5762145404029404,0.0022213642348663533,0.63024,0.003089174647053795
vision,adapted,2048,4.0,2,raw,eager,5,1.6444818276282587,0.02104228459354383,0.61754,0.004107675741827732
vision,adapted,2048,4.0,4,bn_only,eager,5,1.3111461238345643,0.0012119195964447672,0.6695599999999999,0.0030956420981760953
vision,adapted,2048,4.0,4,raw,eager,5,1.3941544671182755,0.01812479227794969,0.6660999999999999,0.0024738633753706007
vision,adapted,2048,4.0,4,raw,graph,5,1.3941544671182755,0.01812479227794969,0.6660999999999999,0.0024738633753706007
vision,shared_initial,0,,2,bn_only,eager,1,1.5622532091355417,,0.6305,
vision,shared_initial,0,,2,raw,eager,1,1.6372169614586514,,0.6193,
vision,shared_initial,0,,4,bn_only,eager,1,1.3147708837514511,,0.6689,
vision,shared_initial,0,,4,raw,eager,1,1.3830965735921403,,0.6675,
