id,task,state,updates,infer_T,calibration,engine,batch,split,checkpoint,identity_path,gpu,checkpoint_sha256,ce,accuracy,items,targets,seed,adapt_T
language_initial_e2_raw_eager,language,shared_initial,0,2,raw,eager,4,test,,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/fused_state.pt,0,4ded420a0784025eb039a83d8e83b799dce23c0d99ec0f1a202eee539a02a79c,3.200008869991241,0.45165934602244995,4406,40980,,
language_initial_e4_raw_eager,language,shared_initial,0,4,raw,eager,4,test,,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/fused_state.pt,0,4ded420a0784025eb039a83d8e83b799dce23c0d99ec0f1a202eee539a02a79c,2.963507696504844,0.4805514885309907,4406,40980,,
language_s8621_K512_a2_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step512.pt,0,186c5856074dd0c744cb892bb5018caf8e8c88a41d5214dc77473f08f3e83da2,2.7944565901910936,0.4921913128355295,4406,40980,8621.0,2.0
language_s8621_K512_a2_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step512.pt,0,186c5856074dd0c744cb892bb5018caf8e8c88a41d5214dc77473f08f3e83da2,2.771923851228936,0.49660810151293316,4406,40980,8621.0,2.0
language_s8621_K512_a4_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,0,c02489ba9b65b0606d5f13cff61e4980d2161451bc67623df3d256e23f7681b7,2.853863263903333,0.487701317715959,4406,40980,8621.0,4.0
language_s8621_K512_a4_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,0,c02489ba9b65b0606d5f13cff61e4980d2161451bc67623df3d256e23f7681b7,2.633488003603408,0.5168618838457785,4406,40980,8621.0,4.0
language_s8622_K512_a2_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step512.pt,1,56263b0feefc17d932395fa259a02a28576ca9782c3a56cf36df6c8df9558074,2.7861436468102276,0.49497315763787214,4406,40980,8622.0,2.0
language_s8622_K512_a2_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step512.pt,1,56263b0feefc17d932395fa259a02a28576ca9782c3a56cf36df6c8df9558074,2.7809660718397664,0.4960468521229868,4406,40980,8622.0,2.0
language_s8622_K512_a4_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,1,9e5381fe9821f1d0f3f31f1d9151ac353cf57429e2d4dd7bd9df610a69ac721d,2.859419703959778,0.4867740361151781,4406,40980,8622.0,4.0
language_s8622_K512_a4_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,1,9e5381fe9821f1d0f3f31f1d9151ac353cf57429e2d4dd7bd9df610a69ac721d,2.6283416248920886,0.5143484626647145,4406,40980,8622.0,4.0
language_s8623_K512_a2_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,0,b39c97d8ee6ad608d9562455ff3d89757df667171adc76db817bd7c42aec5a99,2.776580460584532,0.4989263055148853,4406,40980,8623.0,2.0
language_s8623_K512_a2_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,0,b39c97d8ee6ad608d9562455ff3d89757df667171adc76db817bd7c42aec5a99,2.775770727573431,0.4984870668618838,4406,40980,8623.0,2.0
language_s8623_K512_a4_e2_raw_eager,language,adapted,512,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,0,11ca80b08791be50f4ae758696dd03fbf1068d2ad0070a2141c7309cb6bd8f4f,2.8478363807152243,0.486896046852123,4406,40980,8623.0,4.0
language_s8623_K512_a4_e4_raw_eager,language,adapted,512,4,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,0,11ca80b08791be50f4ae758696dd03fbf1068d2ad0070a2141c7309cb6bd8f4f,2.6339743496454355,0.5152757442654954,4406,40980,8623.0,4.0
language_s8621_K4096_a2_e2_raw_eager,language,adapted,4096,2,raw,eager,4,test,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step4096.pt,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8621_lr2e-05/step4096.pt,0,b28d572dd70da7681dd3c1390dba691f338202170d0f829d104bfa068bbc8760,2.686773586890007,0.5079062957540263,4406,40980,8621.0,2.0
