task,seed,session,eager_T2_saving_percent,graph_T2_saving_percent,T2_graph_saving_percent,T4_graph_saving_percent,cross_T2_eager_over_T4_graph
language,8621,0,23.67191200868214,36.83289737025832,48.16111985058554,37.36039107874357,1.2185275308354666
language,8621,1,22.041501471551904,36.898558216276676,49.75355655708472,37.92317296599923,1.255838970083774
language,8621,2,22.78939453608304,36.93007475270077,49.08817388524008,37.673417176555134,1.2388069739461682
language,8622,0,23.00739246920581,36.72010990855368,47.771829267868505,36.454013345799666,1.2116045652067162
language,8622,1,22.688564188707073,36.86566443065037,48.43836525505617,36.859967259331995,1.2244440247414892
language,8622,2,22.876352957409086,36.810716381516905,48.35475695976411,36.96606026248863,1.2235257285797543
language,8623,0,23.08472820126999,36.87811741345666,48.27817203689613,36.97592193555105,1.2204108994672767
language,8623,1,22.66074619553533,36.815753668343355,48.41816508334558,36.86241660018962,1.2249321187148405
language,8623,2,23.11981157977848,36.921472792198415,49.74293169463204,38.74662184112063,1.2551175254499307
vision,9621,0,21.67011460195305,30.16562161647649,62.45392595827397,57.88636277846684,1.8599648609309871
vision,9621,1,21.26330468176193,34.047114128849834,64.54290312513646,57.67016717115953,1.860075744608011
vision,9621,2,21.752065488644014,30.435317557966933,62.729454854138126,58.07724446660026,1.866478801686022
vision,9622,0,21.859735699724503,31.612240041507533,62.503515873567586,57.156292562457814,1.8238445964133432
vision,9622,1,20.79360718404161,34.102724707860865,63.867319026831694,56.56968653154808,1.823758257547334
vision,9622,2,22.04646676699422,32.11532696505357,63.04047665548885,57.55852827295457,1.8367302089416144
vision,9623,0,22.208502929561668,33.73768797862501,79.59940992545145,76.04984802661998,3.2480585992482043
vision,9623,1,20.885597987642424,34.16152610292269,65.26677743438809,58.26303420191374,1.8955475200352292
vision,9623,2,22.306062786496728,33.23564813014891,63.669147994105614,57.7216455248226,1.8376764700981718
vision,9624,0,21.03732611569208,33.932561739472376,63.513664324358786,56.39215472790093,1.8107446811830759
vision,9624,1,21.019690980919027,34.00674346288209,63.459045940555136,56.26801896275937,1.8060080322413044
vision,9624,2,22.397263511584843,31.279188220196595,78.09044951835105,75.25871670353692,3.1365687688281287
vision,9625,0,22.02153739911926,30.088816859864842,78.04808690070273,75.51498404482548,3.18474216000669
vision,9625,1,21.374699447534862,34.005374583199846,64.34855135575891,57.52524016795695,1.851106418573556
vision,9625,2,21.628409495877776,33.71488450621902,64.34575747433729,57.84453758373456,1.859108784770037
