task,calibration,updates,seed,accuracy_s4_minus_s2_pp
language,raw,512,8621,2.0253782332845303
language,raw,512,8622,1.830161054172763
language,raw,512,8623,1.6788677403611563
language,raw,4096,8621,2.2718399219131213
language,raw,4096,8622,1.8936066373840932
language,raw,4096,8623,2.152269399707174
vision,bn_only,512,9621,1.1099999999999999
vision,bn_only,512,9622,1.1900000000000022
vision,bn_only,512,9623,0.5299999999999971
vision,bn_only,512,9624,0.8900000000000019
vision,bn_only,512,9625,0.9199999999999986
vision,bn_only,2048,9621,0.8599999999999941
vision,bn_only,2048,9622,0.7000000000000006
vision,bn_only,2048,9623,-0.060000000000004494
vision,bn_only,2048,9624,0.6099999999999994
vision,bn_only,2048,9625,0.24999999999999467
vision,raw,512,9621,1.2499999999999956
vision,raw,512,9622,1.5900000000000025
vision,raw,512,9623,2.069999999999994
vision,raw,512,9624,1.7100000000000004
vision,raw,512,9625,1.5100000000000002
vision,raw,2048,9621,1.7999999999999905
vision,raw,2048,9622,0.9700000000000042
vision,raw,2048,9623,1.430000000000009
vision,raw,2048,9624,0.990000000000002
vision,raw,2048,9625,1.2500000000000067
