task,calibration,updates,adapt_T,infer_T,n,mean,sd,low,high,positive,negative
language,raw,512,2,2,3,0.4142819707959564,0.008945348587873403,0.39206049302406754,0.4365034485678453,3,0
language,raw,512,2,4,3,0.18728747962413284,0.004537837466431706,0.17601486644397626,0.1985600928042894,3,0
language,raw,512,4,2,3,0.34630242046512905,0.005793253611627228,0.33191118069475206,0.36069366023550603,3,0
language,raw,512,4,4,3,0.3315730371245332,0.0031211465430694475,0.3238196792929952,0.33932639495607114,3,0
language,raw,4096,2,2,3,0.5195400475192574,0.005461225759059057,0.5059736106587965,0.5331064843797183,3,0
language,raw,4096,2,4,3,0.25829845754865904,0.012606504425252,0.22698216449254313,0.28961475060477493,3,0
language,raw,4096,4,2,3,0.4528300413557913,0.004889059229622837,0.4406849449485042,0.4649751377630784,3,0
language,raw,4096,4,4,3,0.4164020046725292,0.004180572515465354,0.40601688683015474,0.42678712251490364,3,0
vision,bn_only,512,2,2,5,0.13367050982209272,0.003981365700636385,0.12872699136792923,0.1386140282762562,5,0
vision,bn_only,512,2,4,5,0.026375311737869687,0.004129973916247837,0.02124727181254414,0.031503351663195234,5,0
vision,bn_only,512,4,2,5,-0.01874797693908219,0.0029240802757613373,-0.02237870214535278,-0.015117251732811603,0,5
vision,bn_only,512,4,4,5,-0.004628096265955772,0.00342735755066465,-0.0088837227455879,-0.00037246978632364276,1,4
vision,bn_only,2048,2,2,5,0.16653011125710088,0.004483602483600553,0.16096298347095708,0.17209723904324467,5,0
vision,bn_only,2048,2,4,5,0.023549073941781584,0.004108477139057332,0.018447725790770895,0.028650422092792272,5,0
vision,bn_only,2048,4,2,5,-0.01396133126739878,0.0022213642348663633,-0.016719519264729796,-0.011203143270067767,0,5
vision,bn_only,2048,4,4,5,0.0036247599168868216,0.001211919596444847,0.0021199629852636207,0.005129556848510023,5,0
vision,raw,512,2,2,5,0.12965582230164902,0.02789788830884314,0.09501601876264879,0.16429562584064925,5,0
vision,raw,512,2,4,5,-0.047728892331329445,0.03634957575596099,-0.09286285189748658,-0.0025949327651723086,0,5
vision,raw,512,4,2,5,-0.024773022698788026,0.025511240967410177,-0.05644941215752221,0.006903366759946156,1,4
vision,raw,512,4,4,5,-0.026517910796226916,0.02629016186564636,-0.05916145829174951,0.006125636699295674,1,4
vision,raw,2048,2,2,5,0.1645427657624893,0.01830611071568942,0.1418127271396856,0.187272804385293,5,0
vision,raw,2048,2,4,5,-0.010283256054478728,0.015209520492012721,-0.029168370079353325,0.008601857970395869,1,4
vision,raw,2048,4,2,5,-0.007264866169607265,0.021042284593543882,-0.033392313389368426,0.018862581050153898,1,4
vision,raw,2048,4,4,5,-0.011057893526135043,0.018124792277949733,-0.03356279557258682,0.01144700852031673,1,4
