task,calibration,updates,seed,adapt_T,infer_T,initial_ce,ce,gain
language,raw,512,8621,2,2,3.200008869991241,2.7944565901910936,0.4055522798001472
language,raw,512,8622,2,2,3.200008869991241,2.7861436468102276,0.41386522318101315
language,raw,512,8623,2,2,3.200008869991241,2.776580460584532,0.4234284094067089
language,raw,512,8621,2,4,2.963507696504844,2.771923851228936,0.191583845275908
language,raw,512,8622,2,4,2.963507696504844,2.7809660718397664,0.1825416246650775
language,raw,512,8623,2,4,2.963507696504844,2.775770727573431,0.187736968931413
language,raw,512,8621,4,2,3.200008869991241,2.853863263903333,0.3461456060879078
language,raw,512,8622,4,2,3.200008869991241,2.859419703959778,0.34058916603146283
language,raw,512,8623,4,2,3.200008869991241,2.8478363807152243,0.3521724892760165
language,raw,512,8621,4,4,2.963507696504844,2.633488003603408,0.33001969290143585
language,raw,512,8622,4,4,2.963507696504844,2.6283416248920886,0.33516607161275536
language,raw,512,8623,4,4,2.963507696504844,2.6339743496454355,0.3295333468594084
language,raw,4096,8621,2,2,3.200008869991241,2.686773586890007,0.5132352831012339
language,raw,4096,8622,2,2,3.200008869991241,2.6774280019783085,0.5225808680129322
language,raw,4096,8623,2,2,3.200008869991241,2.677204878547635,0.522803991443606
language,raw,4096,8621,2,4,2.963507696504844,2.719725015053931,0.24378268145091297
language,raw,4096,8622,2,4,2.963507696504844,2.698896410182689,0.2646112863221548
language,raw,4096,8623,2,4,2.963507696504844,2.6970062916319346,0.2665014048729093
language,raw,4096,8621,4,2,3.200008869991241,2.748706939121071,0.4513019308701698
language,raw,4096,8622,4,2,3.200008869991241,2.751121317656593,0.44888755233464783
language,raw,4096,8623,4,2,3.200008869991241,2.7417082291286845,0.4583006408625563
language,raw,4096,8621,4,4,2.963507696504844,2.549171707799827,0.41433598870501687
language,raw,4096,8622,4,4,2.963507696504844,2.5498510260873655,0.41365667041747844
language,raw,4096,8623,4,4,2.963507696504844,2.5422943416097517,0.42121335489509226
vision,bn_only,512,9621,2,2,1.5622532091355417,1.4251257610917616,0.13712744804378008
vision,bn_only,512,9622,2,2,1.5622532091355417,1.4274004623380256,0.13485274679751602
vision,bn_only,512,9623,2,2,1.5622532091355417,1.435145964256348,0.12710724487919367
vision,bn_only,512,9624,2,2,1.5622532091355417,1.4260191742114257,0.136234034924116
vision,bn_only,512,9625,2,2,1.5622532091355417,1.4292221346696838,0.13303107446585782
vision,bn_only,512,9621,2,4,1.3147708837514511,1.284595082378568,0.030175801372883226
vision,bn_only,512,9622,2,4,1.3147708837514511,1.2874712982876984,0.027299585463752774
vision,bn_only,512,9623,2,4,1.3147708837514511,1.2933841089500464,0.021386774801404718
vision,bn_only,512,9624,2,4,1.3147708837514511,1.28452146357327,0.030249420178181108
vision,bn_only,512,9625,2,4,1.3147708837514511,1.2920059068783245,0.02276497687312662
vision,bn_only,512,9621,4,2,1.5622532091355417,1.576197949426109,-0.013944740290567248
vision,bn_only,512,9622,4,2,1.5622532091355417,1.5811906171864598,-0.018937408050918147
vision,bn_only,512,9623,4,2,1.5622532091355417,1.5841012757605872,-0.02184806662504557
vision,bn_only,512,9624,4,2,1.5622532091355417,1.582169013274531,-0.0199158041389893
vision,bn_only,512,9625,4,2,1.5622532091355417,1.5813470747254323,-0.01909386558989068
vision,bn_only,512,9621,4,4,1.3147708837514511,1.3137216268130578,0.001049256938393306
vision,bn_only,512,9622,4,4,1.3147708837514511,1.3218410219118697,-0.007070138160418571
vision,bn_only,512,9623,4,4,1.3147708837514511,1.3196128296875396,-0.004841945936088443
vision,bn_only,512,9624,4,4,1.3147708837514511,1.3194638781710528,-0.004692994419601693
vision,bn_only,512,9625,4,4,1.3147708837514511,1.3223555435035146,-0.007584659752063461
vision,bn_only,2048,9621,2,2,1.5622532091355417,1.4019091019508663,0.1603441071846754
vision,bn_only,2048,9622,2,2,1.5622532091355417,1.3949511304615532,0.1673020786739885
vision,bn_only,2048,9623,2,2,1.5622532091355417,1.3984311261595925,0.16382208297594913
vision,bn_only,2048,9624,2,2,1.5622532091355417,1.3908775916190819,0.1713756175164598
vision,bn_only,2048,9625,2,2,1.5622532091355417,1.39244653920111,0.1698066699344316
vision,bn_only,2048,9621,2,4,1.3147708837514511,1.2974328278324625,0.017338055918988626
