T,lr,seed,updates,validation_ce,validation_accuracy,training_seconds,peak_allocated_gib
2,5e-06,9611,512,1.4791105898587964,0.6394,135.42782563343644,6.793201446533203
2,5e-06,9612,512,1.5079951220805874,0.6412,138.1298076324165,6.793201446533203
2,2e-05,9611,512,1.448008491662517,0.6516,137.78255294263363,6.793201446533203
2,2e-05,9612,512,1.4916407651196233,0.6392,137.27580232918262,6.793201446533203
2,8e-05,9611,512,1.464384610116901,0.6438,137.1588458493352,6.793201446533203
2,8e-05,9612,512,1.4961541726570577,0.6366,137.5080804117024,6.793201446533203
4,5e-06,9611,512,1.3556827340106945,0.6726,276.7403701879084,12.636402130126953
4,5e-06,9612,512,1.3861684254307765,0.6686,277.6386281065643,12.636402130126953
4,2e-05,9611,512,1.3613221202312968,0.6748,277.58919306471944,12.636402130126953
4,2e-05,9612,512,1.3928376398631372,0.6608,278.5051170065999,12.636402130126953
4,8e-05,9611,512,1.3739138500367292,0.6668,276.5744241923094,12.636402130126953
4,8e-05,9612,512,1.4178820786203257,0.6564,278.0826882980764,12.636402130126953
