task,seed,T,engine,median,min,max
language,8621,2,eager,12.42000237107277,12.191042304039001,12.571016326546669
language,8621,2,graph,6.319699808955193,6.316488608717918,6.323250010609627
language,8621,4,eager,16.085876151919365,15.971895307302475,16.1252673715353
language,8621,4,graph,10.01005433499813,10.004732757806778,10.02577692270279
language,8622,2,eager,12.462185695767403,12.316716834902763,12.46248185634613
language,8622,2,graph,6.432795897126198,6.425706669688225,6.43627904355526
language,8622,4,eager,16.11945964396,15.997271984815598,16.159093007445335
language,8622,4,graph,10.17783209681511,10.16562432050705,10.185712948441505
language,8623,2,eager,12.261593714356422,12.217609211802483,12.585092335939407
language,8623,2,graph,6.324755027890205,6.319170817732811,6.324898451566696
language,8623,4,eager,15.884503722190857,15.85429534316063,16.36974699795246
language,8623,4,graph,10.011062026023865,10.010018944740295,10.027023032307625
vision,9621,2,eager,8.74391756951809,8.735310286283493,8.759401738643646
vision,9621,2,graph,3.2646767795085907,3.100339323282242,3.2797660678625107
vision,9621,4,eager,11.151950806379318,11.105263605713844,11.194419115781784
vision,9621,4,graph,4.696492105722427,4.6930089592933655,4.700839519500732
vision,9622,2,eager,8.71000625193119,8.708285167813301,8.764589205384254
vision,9622,2,graph,3.2393503934144974,3.147158771753311,3.265300765633583
vision,9622,4,eager,11.144427582621574,10.996595025062561,11.243350803852081
vision,9622,4,graph,4.774685949087143,4.7718435525894165,4.77585569024086
vision,9623,2,eager,8.915724232792854,8.62814113497734,15.293225646018982
vision,9623,2,graph,3.1199082732200623,3.096718341112137,3.1346771866083145
vision,9623,4,eager,11.269407346844673,11.105295270681381,19.65925097465515
vision,9623,4,graph,4.70350868999958,4.695136100053787,4.708420485258102
vision,9624,2,eager,8.645609021186829,8.624056354165077,15.01450315117836
vision,9624,2,graph,3.154465928673744,3.151312470436096,3.2896101474761963
vision,9624,4,eager,10.94898208975792,10.919248685240746,19.34790425002575
vision,9624,4,graph,4.775203764438629,4.774615168571472,4.786919802427292
vision,9625,2,eager,8.7208803743124,8.685028180480003,14.96688649058342
vision,9625,2,graph,3.109363839030266,3.0963383615016937,3.285517916083336
vision,9625,4,eager,11.12760417163372,11.046098545193672,19.1936157643795
vision,9625,4,graph,4.691803827881813,4.690892994403839,4.699559882283211
