Filesystem                         Size  Used Avail Use% Mounted on
overlay                             30G  4.3G   26G  15% /
/dev/md0                           7.0T  6.4T  609G  92% /autodl-pub
AutoFS:fs1                          10T  4.4T  5.7T  44% /autodl-pub/data
tmpfs                               64M     0   64M   0% /dev
shm                                 90G     0   90G   0% /dev/shm
/dev/mapper/ubuntu--vg-ubuntu--lv  877G   16G  825G   2% /usr/bin/nvidia-smi
tmpfs                              504G   12K  504G   1% /proc/driver/nvidia
tmpfs                              504G  4.0K  504G   1% /etc/nvidia/nvidia-application-profiles-rc.d
tmpfs                              504G     0  504G   0% /proc/asound
tmpfs                              504G     0  504G   0% /proc/acpi
tmpfs                              504G     0  504G   0% /proc/scsi
tmpfs                              504G     0  504G   0% /sys/firmware
tmpfs                              504G     0  504G   0% /sys/devices/virtual/powercap
