seed,condition,infer_T,P
9621,bn,2,0.18240578432730392
9622,bn,2,0.15638325911567064
9623,bn,2,0.1589983535771724
9624,bn,2,0.17526870909597503
9625,bn,2,0.1629970124154121
9621,bn,4,-0.021045894006360255
9622,bn,4,-0.011484055432607443
9623,bn,4,-0.01929511973311615
9624,bn,4,-0.013984213474221185
9625,bn,4,-0.014395639088394807
9621,raw,2,0.15781208607032893
9622,raw,2,0.15280895736583044
9623,raw,2,0.1359380998986075
9624,raw,2,0.1620589248167119
9625,raw,2,0.159871783103398
9621,raw,4,-2.1104068541832888e-05
9622,raw,4,0.006156685102311821
9623,raw,4,0.017731180683017156
9624,raw,4,0.000858437683345814
9625,raw,4,-0.008618696682888505
