init_id,state,updates,adapt_T,infer_T,calibration,cal_T,cal_seed,n,ce_mean,ce_sd,accuracy_mean
A,adapted,512,2.0,2,bn_cross,2.0,9640.0,5,1.4245374906426784,0.010698921766255956,0.64554
A,adapted,512,2.0,2,raw,,,5,1.5109481277532921,0.02502965635009622,0.63508
A,adapted,512,2.0,4,bn_cross,4.0,9640.0,5,1.2879045467956716,0.0043419460867810305,0.6633
A,adapted,512,2.0,4,raw,,,5,1.4328585470621138,0.03343133855313186,0.6456999999999999
A,adapted,512,4.0,2,bn_cross,2.0,9640.0,5,1.5808183710637083,0.00868890907279601,0.63046
A,adapted,512,4.0,2,raw,,,5,1.6593461248366441,0.030536923083896963,0.61558
A,adapted,512,4.0,4,bn_cross,4.0,9640.0,5,1.322047883289454,0.0055409414567664335,0.6690400000000001
A,adapted,512,4.0,4,raw,,,5,1.4120235169873363,0.02667874172657667,0.66282
A,adapted,1024,2.0,2,bn_cross,2.0,9640.0,5,1.4057751431231131,0.005655832888724001,0.6456999999999999
A,adapted,1024,2.0,2,raw,,,5,1.471070750081801,0.012617242931629843,0.6402
A,adapted,1024,2.0,4,bn_cross,4.0,9640.0,5,1.2874690692776842,0.003657315301760118,0.66302
A,adapted,1024,2.0,4,raw,,,5,1.395045354291728,0.013380297648725116,0.6498
A,adapted,1024,4.0,2,bn_cross,2.0,9640.0,5,1.5705087169416527,0.005000814935503148,0.63246
A,adapted,1024,4.0,2,raw,,,5,1.6298350725469923,0.025136337111640247,0.62078
A,adapted,1024,4.0,4,bn_cross,4.0,9640.0,5,1.314297060792246,0.003363024323901711,0.66964
A,adapted,1024,4.0,4,raw,,,5,1.3873244273745011,0.01480391931770673,0.66584
A,adapted,2048,2.0,2,bn_cross,2.0,9640.0,5,1.3912074700811528,0.00637195971841827,0.6505
A,adapted,2048,2.0,2,bn_cross,2.0,9740.0,5,1.390265395210567,0.0012397186428864395,0.6505
A,adapted,2048,2.0,2,bn_cross,2.0,9840.0,5,1.3926907566595055,0.004001375398545847,0.65238
A,adapted,2048,2.0,2,bn_cross,4.0,9640.0,5,1.4543317406822553,0.005027271837055815,0.63726
A,adapted,2048,2.0,2,bn_cross,4.0,9740.0,5,1.447577545608515,0.006623196927249467,0.6368400000000001
A,adapted,2048,2.0,2,bn_cross,4.0,9840.0,5,1.4527402583186189,0.00550115144055374,0.6368
A,adapted,2048,2.0,2,raw,,,5,1.4732441964388172,0.016797290277559107,0.6441600000000001
A,adapted,2048,2.0,4,bn_cross,2.0,9640.0,5,1.314136538904308,0.0058062627244266155,0.66304
A,adapted,2048,2.0,4,bn_cross,2.0,9740.0,5,1.3224180812471675,0.003344098577559312,0.65942
A,adapted,2048,2.0,4,bn_cross,2.0,9840.0,5,1.3170126888635667,0.0032434459243250832,0.661
A,adapted,2048,2.0,4,bn_cross,4.0,9640.0,5,1.2903107986163058,0.0031930485225535638,0.6646599999999999
A,adapted,2048,2.0,4,bn_cross,4.0,9740.0,5,1.291464502114922,0.0059913264842065194,0.6639
A,adapted,2048,2.0,4,bn_cross,4.0,9840.0,5,1.2905717662301774,0.00349743921005747,0.665
A,adapted,2048,2.0,4,raw,,,5,1.3918942940717132,0.01573039349090959,0.6542
A,adapted,2048,4.0,2,bn_cross,2.0,9640.0,5,1.5584180937874597,0.006386217369579498,0.63326
A,adapted,2048,4.0,2,bn_cross,2.0,9740.0,5,1.5540478762944834,0.005214744115409321,0.63364
A,adapted,2048,4.0,2,bn_cross,2.0,9840.0,5,1.5576716649508568,0.0027972353045845793,0.63432
A,adapted,2048,4.0,2,bn_cross,4.0,9640.0,5,1.5403627982751513,0.0064090311389802986,0.62846
A,adapted,2048,4.0,2,bn_cross,4.0,9740.0,5,1.5333381809282443,0.005626465958967869,0.6324
A,adapted,2048,4.0,2,bn_cross,4.0,9840.0,5,1.5364930554502272,0.006792132965789262,0.6308
A,adapted,2048,4.0,2,raw,,,5,1.6269421666897927,0.022561656720344277,0.62178
A,adapted,2048,4.0,4,bn_cross,2.0,9640.0,5,1.436858835653686,0.004378182503562026,0.65406
A,adapted,2048,4.0,4,bn_cross,2.0,9740.0,5,1.4419240821545758,0.004124321934921311,0.6514200000000001
A,adapted,2048,4.0,4,bn_cross,2.0,9840.0,5,1.438538676118839,0.0048737935571421575,0.65254
A,adapted,2048,4.0,4,bn_cross,4.0,9640.0,5,1.3063517829632456,0.005416017313186244,0.67232
A,adapted,2048,4.0,4,bn_cross,4.0,9740.0,5,1.3043183729978591,0.004572734086222354,0.67386
A,adapted,2048,4.0,4,bn_cross,4.0,9840.0,5,1.303247452178893,0.005729546387544378,0.67364
A,adapted,2048,4.0,4,raw,,,5,1.3886729935282642,0.018864729185698884,0.6688799999999999
A,shared_initial,0,,2,bn_cross,2.0,9640.0,1,1.564602941122558,,0.6312
A,shared_initial,0,,2,bn_cross,2.0,9740.0,1,1.554810531888553,,0.6318
A,shared_initial,0,,2,bn_cross,2.0,9840.0,1,1.56066590583059,,0.6335
A,shared_initial,0,,2,bn_cross,4.0,9640.0,1,1.5623596718368586,,0.6206
A,shared_initial,0,,2,bn_cross,4.0,9740.0,1,1.5409497076130938,,0.6284
A,shared_initial,0,,2,bn_cross,4.0,9840.0,1,1.5597401683342178,,0.6209
A,shared_initial,0,,2,raw,,,1,1.6370486931122374,,0.619
A,shared_initial,0,,4,bn_cross,2.0,9640.0,1,1.4481051515349186,,0.6475
A,shared_initial,0,,4,bn_cross,2.0,9740.0,1,1.44793705761343,,0.6493
A,shared_initial,0,,4,bn_cross,2.0,9840.0,1,1.4463183968031779,,0.6489
A,shared_initial,0,,4,bn_cross,4.0,9640.0,1,1.3181072585443967,,0.6674
A,shared_initial,0,,4,bn_cross,4.0,9740.0,1,1.3079214661131962,,0.6732
