task,checkpoint,checkpoint_sha256,source_id,init_id,initialization_seed,state,seed,adapt_T,lr,updates,role,engine,id,infer_T,calibration,ce,accuracy,actual_engine,targets,cal_T,cal_seed,batch,split,identity_path,gpu,legacy_id
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_e2_raw,2,raw,1.6370486931122374,0.619,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_e4_raw,4,raw,1.3832979446934304,0.6675,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e2_bn9640,2,bn_cross,1.564602941122558,0.6312,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e4_bn9640,4,bn_cross,1.4481051515349186,0.6475,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e2_bn9640,2,bn_cross,1.5623596718368586,0.6206,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e4_bn9640,4,bn_cross,1.3181072585443967,0.6674,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e2_bn9740,2,bn_cross,1.554810531888553,0.6318,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e4_bn9740,4,bn_cross,1.44793705761343,0.6493,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e2_bn9740,2,bn_cross,1.5409497076130938,0.6284,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e4_bn9740,4,bn_cross,1.3079214661131962,0.6732,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e2_bn9840,2,bn_cross,1.56066590583059,0.6335,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c2_e4_bn9840,4,bn_cross,1.4463183968031779,0.6489,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e2_bn9840,2,bn_cross,1.5597401683342178,0.6209,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,A_initial,A,12450.0,shared_initial,,,,0,primary,graph,A_initial_c4_e4_bn9840,4,bn_cross,1.314676659304416,0.6681,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step512.pt,aeca30d6607c7dbef07e6aa4a6c66fe067cb347d82da050a80fb12a3df0144c1,A_s9621_a2_K512,A,12450.0,adapted,9621.0,2.0,2e-05,512,primary,graph,A_s9621_a2_K512_e2_raw,2,raw,1.4897863062372199,0.6358,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step512.pt,aeca30d6607c7dbef07e6aa4a6c66fe067cb347d82da050a80fb12a3df0144c1,A_s9621_a2_K512,A,12450.0,adapted,9621.0,2.0,2e-05,512,primary,graph,A_s9621_a2_K512_e4_raw,4,raw,1.4098816560571432,0.649,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step512.pt,aeca30d6607c7dbef07e6aa4a6c66fe067cb347d82da050a80fb12a3df0144c1,A_s9621_a2_K512,A,12450.0,adapted,9621.0,2.0,2e-05,512,primary,graph,A_s9621_a2_K512_c2_e2_bn9640,2,bn_cross,1.4123789185879752,0.6487,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step512.pt,aeca30d6607c7dbef07e6aa4a6c66fe067cb347d82da050a80fb12a3df0144c1,A_s9621_a2_K512,A,12450.0,adapted,9621.0,2.0,2e-05,512,primary,graph,A_s9621_a2_K512_c4_e4_bn9640,4,bn_cross,1.2803707470398222,0.6653,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_e2_raw,2,raw,1.4727872005666607,0.6386,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_e4_raw,4,raw,1.393289347213239,0.6513,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_c2_e2_bn9640,2,bn_cross,1.4099340088968282,0.6427,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_c4_e4_bn9640,4,bn_cross,1.285330761302053,0.6619,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_e2_raw,2,raw,1.4865548161927145,0.6422,graph,10000,,,,,,,
